expense_id,employee_id,dept,date,category,amount,policy_cat_cap,is_weekend,is_card,receipt_available
1,EMP0082,Sales,2026-01-26,Taxi,971,1500,False,False,True
2,EMP0082,Sales,2026-01-23,Meals,1055,1000,False,True,True
3,EMP0082,Sales,2026-01-25,Meals,1237,1000,True,True,False
4,EMP0082,Sales,2026-01-26,Entertainment,766,1000,False,True,True
5,EMP0082,Sales,2026-01-26,Meals,1058,1000,False,True,True
6,EMP0004,Sales,2025-11-19,Entertainment,638,1000,False,True,True
7,EMP0004,Sales,2025-11-19,Taxi,1304,1500,False,True,True
8,EMP0004,Sales,2025-11-20,Meals,978,1000,False,True,True
9,EMP0004,Sales,2025-11-20,Entertainment,636,1000,False,True,True
10,EMP0104,Sales,2026-01-18,Taxi,1421,1500,True,True,True
11,EMP0104,Sales,2026-01-18,Hotel,8118,8000,True,True,True
12,EMP0046,Marketing,2025-11-26,Hotel,6541,8000,False,True,True
13,EMP0046,Marketing,2025-11-24,Meals,813,1000,False,False,False
14,EMP0046,Marketing,2025-11-24,Meals,780,1000,False,True,True
15,EMP0046,Marketing,2025-11-26,Meals,676,1000,False,True,True
16,EMP0046,Marketing,2025-11-24,Meals,983,1000,False,True,True
17,EMP0080,Marketing,2025-11-17,Entertainment,886,1000,False,True,True
18,EMP0080,Marketing,2025-11-15,Entertainment,1091,1000,True,False,True
19,EMP0080,Marketing,2025-11-14,Taxi,1495,1500,False,True,True
20,EMP0080,Marketing,2025-11-17,Entertainment,1031,1000,False,True,True
21,EMP0080,Marketing,2025-11-14,Hotel,5647,8000,False,True,True
22,EMP0111,Sales,2025-11-28,Taxi,2168,1500,False,True,False
23,EMP0111,Sales,2025-11-27,Meals,896,1000,False,False,False
24,EMP0088,Sales,2026-01-13,Hotel,7866,8000,False,True,True
25,EMP0088,Sales,2026-01-13,Taxi,967,1500,False,True,True
26,EMP0088,Sales,2026-01-11,Hotel,5387,8000,True,True,True
27,EMP0072,Engineering,2025-12-02,Entertainment,1605,1000,False,True,True
28,EMP0072,Engineering,2025-12-04,Entertainment,802,1000,False,False,True
29,EMP0072,Engineering,2025-12-04,Meals,677,1000,False,True,True
30,EMP0072,Engineering,2025-12-04,Meals,686,1000,False,True,False
31,EMP0073,Marketing,2026-01-14,Entertainment,935,1000,False,True,True
32,EMP0073,Marketing,2026-01-12,Entertainment,1017,1000,False,True,True
33,EMP0073,Marketing,2026-01-12,Hotel,8726,8000,False,True,True
34,EMP0096,HR,2026-02-15,Entertainment,895,1000,True,True,True
35,EMP0096,HR,2026-02-15,Hotel,6178,8000,True,False,True
36,EMP0020,Engineering,2025-12-14,Hotel,7488,8000,True,True,True
37,EMP0020,Engineering,2025-12-16,Taxi,1635,1500,False,True,True
38,EMP0020,Engineering,2025-12-17,Taxi,1306,1500,False,True,True
39,EMP0020,Engineering,2025-12-14,Taxi,1540,1500,True,True,True
40,EMP0020,Engineering,2025-12-14,Meals,933,1000,True,True,False
41,EMP0002,Sales,2026-02-11,Meals,658,1000,False,True,True
42,EMP0002,Sales,2026-02-12,Meals,1007,1000,False,False,True
43,EMP0002,Sales,2026-02-11,Meals,1149,1000,False,True,True
44,EMP0002,Sales,2026-02-13,Meals,627,1000,False,True,True
45,EMP0002,Sales,2026-02-14,Entertainment,1240,1000,True,True,True
46,EMP0113,Marketing,2026-01-29,Hotel,7195,8000,False,True,False
47,EMP0113,Marketing,2026-01-29,Entertainment,981,1000,False,True,True
48,EMP0113,Marketing,2026-01-26,Meals,972,1000,False,True,True
49,EMP0113,Marketing,2026-01-26,Hotel,8727,8000,False,False,True
50,EMP0113,Marketing,2026-01-26,Taxi,1197,1500,False,True,True
51,EMP0020,Marketing,2025-12-30,Entertainment,1036,1000,False,False,True
52,EMP0020,Marketing,2025-12-30,Entertainment,772,1000,False,True,True
53,EMP0020,Marketing,2026-01-01,Meals,605,1000,False,False,True
54,EMP0031,HR,2025-11-01,Meals,900,1000,True,True,True
55,EMP0031,HR,2025-11-01,Taxi,1250,1500,True,False,True
56,EMP0078,Finance,2026-02-19,Entertainment,637,1000,False,True,True
57,EMP0078,Finance,2026-02-17,Meals,1032,1000,False,True,True
58,EMP0078,Finance,2026-02-16,Meals,815,1000,False,True,True
59,EMP0032,Engineering,2025-12-06,Meals,1049,1000,True,True,True
60,EMP0032,Engineering,2025-12-04,Entertainment,637,1000,False,True,True
61,EMP0032,Engineering,2025-12-03,Entertainment,914,1000,False,False,True
62,EMP0032,Engineering,2025-12-06,Taxi,1488,1500,True,True,True
63,EMP0066,Engineering,2026-01-14,Entertainment,1508,1000,False,True,True
64,EMP0066,Engineering,2026-01-17,Entertainment,2892,1000,True,True,True
