trip_id,employee_id,dept,origin,destination,booking_date,travel_date,airline,fare,hotel_name,hotel_city,hotel_rate,is_preferred_airline,is_preferred_hotel,policy_route_cap
1,EMP0082,Sales,BLR,DEL,2026-01-21,2026-01-23,Air India,7691,ITC,DEL,11232,True,True,9000
2,EMP0004,Sales,BLR,BOM,2025-11-17,2025-11-19,Akasa Air,10340,ITC,BOM,7679,False,True,8000
3,EMP0104,Sales,BLR,BOM,2026-01-10,2026-01-18,Vistara,6097,Marriott,BOM,8878,True,True,8000
4,EMP0046,Marketing,MAA,BLR,2025-11-16,2025-11-23,SpiceJet,5249,Treebo,BLR,5414,False,False,7000
5,EMP0080,Marketing,MAA,BLR,2025-10-31,2025-11-14,IndiGo,6751,Taj,BLR,4653,True,True,7000
6,EMP0111,Sales,DEL,BLR,2025-11-22,2025-11-25,Vistara,7632,ITC,BLR,6187,True,True,9000
7,EMP0088,Sales,MAA,BLR,2026-01-03,2026-01-10,Akasa Air,5585,OYO,BLR,8054,False,False,7000
8,EMP0072,Engineering,BLR,MAA,2025-11-24,2025-12-01,Air India,7154,Taj,MAA,4542,True,True,7000
9,EMP0073,Marketing,BLR,BOM,2026-01-04,2026-01-12,SpiceJet,7068,OYO,BOM,7365,False,False,8000
10,EMP0096,HR,DEL,BLR,2026-02-09,2026-02-12,Vistara,11855,ITC,BLR,4385,True,True,9000
11,EMP0020,Engineering,BLR,MAA,2025-11-30,2025-12-14,IndiGo,5968,Lemon Tree,MAA,8962,True,False,7000
12,EMP0002,Sales,BLR,MAA,2026-01-28,2026-02-11,Vistara,5852,OYO,MAA,6015,True,False,7000
13,EMP0113,Marketing,MAA,BLR,2026-01-19,2026-01-26,Akasa Air,7337,Taj,BLR,8158,False,True,7000
14,EMP0020,Marketing,BLR,BOM,2025-12-27,2025-12-29,Akasa Air,8120,Marriott,BOM,6519,False,True,8000
15,EMP0031,HR,BLR,DEL,2025-10-28,2025-10-31,IndiGo,10823,Treebo,DEL,8924,True,False,9000
16,EMP0078,Finance,BLR,BOM,2026-02-12,2026-02-16,Vistara,8784,Lemon Tree,BOM,9635,True,False,8000
17,EMP0032,Engineering,BLR,DEL,2025-12-03,2025-12-03,Akasa Air,10192,Treebo,DEL,7786,False,False,9000
18,EMP0066,Engineering,BOM,DEL,2026-01-06,2026-01-14,Air India,6399,Treebo,DEL,10176,True,False,8500
19,EMP0061,Finance,BLR,BOM,2025-10-31,2025-11-02,SpiceJet,8625,Marriott,BOM,6817,False,True,8000
20,EMP0103,Sales,BLR,BOM,2025-11-10,2025-11-14,Akasa Air,6048,Lemon Tree,BOM,8372,False,False,8000
21,EMP0057,HR,BLR,DEL,2025-10-27,2025-10-27,IndiGo,8593,ITC,DEL,7285,True,True,9000
22,EMP0022,Finance,BLR,DEL,2025-12-07,2025-12-09,SpiceJet,10851,Marriott,DEL,8552,False,True,9000
23,EMP0063,Engineering,BLR,BOM,2025-11-23,2025-11-27,IndiGo,9248,Treebo,BOM,5182,True,False,8000
24,EMP0110,HR,BLR,BOM,2025-10-26,2025-10-28,Air India,9774,Taj,BOM,4982,True,True,8000
25,EMP0073,Engineering,MAA,BLR,2025-12-29,2026-01-05,Akasa Air,6073,Taj,BLR,8282,False,True,7000
26,EMP0034,Engineering,BLR,MAA,2026-01-10,2026-01-20,Air India,6008,Marriott,MAA,6457,True,True,7000
27,EMP0119,Sales,BLR,DEL,2025-12-18,2025-12-18,IndiGo,8336,Treebo,DEL,5766,True,False,9000
28,EMP0021,Finance,MAA,BLR,2026-01-09,2026-01-19,Akasa Air,6381,OYO,BLR,9310,False,False,7000
29,EMP0113,Engineering,BOM,DEL,2025-11-02,2025-11-04,Akasa Air,8811,ITC,DEL,5667,False,True,8500
30,EMP0110,Marketing,MAA,BLR,2025-12-12,2025-12-22,IndiGo,6675,Taj,BLR,6242,True,True,7000
31,EMP0082,Marketing,BLR,BOM,2026-01-15,2026-01-23,Akasa Air,7770,OYO,BOM,6075,False,False,8000
32,EMP0075,HR,BLR,BOM,2025-12-11,2025-12-15,IndiGo,6766,Marriott,BOM,4326,True,True,8000
33,EMP0027,Engineering,BLR,MAA,2025-10-24,2025-11-03,Akasa Air,7626,Lemon Tree,MAA,7479,False,False,7000
34,EMP0104,Engineering,DEL,BLR,2025-10-23,2025-10-24,Vistara,12488,Lemon Tree,BLR,6480,True,False,9000
35,EMP0049,Sales,DEL,BLR,2025-11-17,2025-11-18,SpiceJet,9903,Marriott,BLR,4193,False,True,9000
36,EMP0052,Marketing,BOM,DEL,2026-02-06,2026-02-08,Vistara,9919,Marriott,DEL,8392,True,True,8500
37,EMP0004,Sales,BOM,DEL,2025-11-06,2025-11-12,IndiGo,7978,Taj,DEL,6569,True,True,8500
38,EMP0066,Sales,DEL,BLR,2026-02-12,2026-02-13,Vistara,9741,Taj,BLR,8410,True,True,9000
39,EMP0095,Engineering,BOM,DEL,2025-12-13,2025-12-15,Vistara,9504,Treebo,DEL,7442,True,False,8500
40,EMP0042,Finance,BLR,MAA,2025-11-13,2025-11-27,Air India,6077,ITC,MAA,5425,True,True,7000
41,EMP0039,Finance,MAA,BLR,2026-01-28,2026-02-04,Vistara,5488,Marriott,BLR,8969,True,True,7000
42,EMP0060,Finance,DEL,BLR,2026-01-14,2026-01-15,Akasa Air,12710,Lemon Tree,BLR,5093,False,False,9000
43,EMP0080,Marketing,BLR,DEL,2026-02-01,2026-02-02,Vistara,13656,ITC,DEL,4596,True,True,9000
44,EMP0114,HR,BLR,BOM,2026-01-12,2026-01-20,SpiceJet,6380,Lemon Tree,BOM,5128,False,False,8000
45,EMP0114,Sales,DEL,BLR,2025-11-17,2025-11-18,Akasa Air,7613,Lemon Tree,BLR,8048,False,False,9000
46,EMP0068,HR,MAA,BLR,2025-11-20,2025-11-30,Akasa Air,7397,OYO,BLR,14035,False,False,7000
47,EMP0058,Marketing,BLR,BOM,2026-01-30,2026-02-05,Akasa Air,7605,Lemon Tree,BOM,5625,False,False,8000
48,EMP0043,Marketing,MAA,BLR,2025-10-24,2025-10-31,Air India,5972,ITC,BLR,7605,True,True,7000
49,EMP0070,Finance,DEL,BLR,2025-10-27,2025-10-28,SpiceJet,12187,Lemon Tree,BLR,12677,False,False,9000
50,EMP0097,Finance,DEL,BLR,2025-12-27,2025-12-28,SpiceJet,9071,ITC,BLR,7312,False,True,9000
51,EMP0108,Finance,BLR,BOM,2026-01-06,2026-01-08,SpiceJet,8206,Treebo,BOM,8230,False,False,8000
52,EMP0042,Engineering,DEL,BLR,2025-11-29,2025-12-01,SpiceJet,12155,Marriott,BLR,4670,False,True,9000
53,EMP0096,HR,BLR,DEL,2025-12-03,2025-12-04,IndiGo,7149,OYO,DEL,4942,True,False,9000
54,EMP0061,Sales,MAA,BLR,2025-11-07,2025-11-17,Vistara,5369,Marriott,BLR,4938,True,True,7000
55,EMP0021,Marketing,BLR,DEL,2026-01-03,2026-01-03,Vistara,12124,Treebo,DEL,5752,True,False,9000
56,EMP0081,Engineering,BLR,DEL,2026-01-16,2026-01-18,Akasa Air,14043,Taj,DEL,9808,False,True,9000
57,EMP0002,Finance,DEL,BLR,2025-10-31,2025-11-03,Vistara,9509,OYO,BLR,5939,True,False,9000
58,EMP0084,Marketing,MAA,BLR,2026-01-18,2026-02-01,SpiceJet,6119,Lemon Tree,BLR,6797,False,False,7000
59,EMP0120,Sales,BOM,DEL,2026-02-02,2026-02-10,Air India,7887,Lemon Tree,DEL,6813,True,False,8500
60,EMP0024,Finance,BLR,BOM,2025-11-29,2025-12-05,Vistara,8417,Marriott,BOM,6263,True,True,8000
61,EMP0067,Engineering,BLR,DEL,2025-11-17,2025-11-20,SpiceJet,9029,Treebo,DEL,11721,False,False,9000
62,EMP0052,Engineering,BOM,DEL,2026-01-07,2026-01-13,SpiceJet,7755,Treebo,DEL,9352,False,False,8500
63,EMP0035,Marketing,BOM,DEL,2025-11-17,2025-11-19,Air India,8013,Marriott,DEL,7841,True,True,8500
64,EMP0036,HR,MAA,BLR,2025-12-26,2026-01-05,IndiGo,5729,ITC,BLR,8808,True,True,7000
65,EMP0036,Sales,BLR,DEL,2025-12-28,2025-12-30,Air India,11757,OYO,DEL,9444,True,False,9000
66,EMP0044,Engineering,BLR,DEL,2025-11-19,2025-11-22,IndiGo,9491,Taj,DEL,6406,True,True,9000
67,EMP0039,Sales,BLR,BOM,2025-10-28,2025-11-05,Akasa Air,8130,Treebo,BOM,9224,False,False,8000
68,EMP0039,HR,DEL,BLR,2025-11-29,2025-11-29,Akasa Air,8846,OYO,BLR,9251,False,False,9000
69,EMP0010,Engineering,BLR,DEL,2025-12-09,2025-12-12,Akasa Air,7348,Lemon Tree,DEL,7648,False,False,9000
70,EMP0088,Engineering,BOM,DEL,2026-01-25,2026-01-29,SpiceJet,7801,Taj,DEL,6176,False,True,8500
71,EMP0010,Sales,BLR,BOM,2026-01-24,2026-01-30,Akasa Air,8237,OYO,BOM,7880,False,False,8000
72,EMP0090,Finance,BOM,DEL,2025-12-16,2025-12-24,SpiceJet,7983,Taj,DEL,6640,False,True,8500
73,EMP0004,Sales,BLR,BOM,2026-01-13,2026-01-15,Vistara,7601,Treebo,BOM,13366,True,False,8000
74,EMP0082,Finance,BLR,DEL,2025-12-18,2025-12-20,SpiceJet,8435,Marriott,DEL,7372,False,True,9000
75,EMP0037,Finance,MAA,BLR,2025-10-15,2025-10-25,IndiGo,7033,Marriott,BLR,8215,True,True,7000
76,EMP0001,HR,DEL,BLR,2025-12-12,2025-12-12,Air India,10087,Treebo,BLR,4692,True,False,9000
77,EMP0119,Marketing,DEL,BLR,2026-02-07,2026-02-10,IndiGo,9803,Taj,BLR,5960,True,True,9000
78,EMP0040,HR,BLR,DEL,2025-12-27,2025-12-30,IndiGo,9872,ITC,DEL,7780,True,True,9000
79,EMP0083,Engineering,DEL,BLR,2026-02-15,2026-02-17,Akasa Air,9836,OYO,BLR,8571,False,False,9000
80,EMP0077,HR,BLR,MAA,2026-02-03,2026-02-10,IndiGo,7063,Marriott,MAA,6784,True,True,7000
81,EMP0065,Marketing,BLR,DEL,2025-11-24,2025-11-26,Akasa Air,14902,Treebo,DEL,7507,False,False,9000
82,EMP0049,Finance,BOM,DEL,2026-02-05,2026-02-09,Air India,7252,Treebo,DEL,7461,True,False,8500
83,EMP0091,Finance,DEL,BLR,2026-01-12,2026-01-13,SpiceJet,9386,Taj,BLR,4822,False,True,9000
84,EMP0057,Sales,MAA,BLR,2026-02-04,2026-02-14,IndiGo,5303,OYO,BLR,5382,True,False,7000
85,EMP0034,Marketing,MAA,BLR,2026-01-07,2026-01-17,IndiGo,7286,Marriott,BLR,7113,True,True,7000
86,EMP0081,Finance,MAA,BLR,2025-10-11,2025-10-25,IndiGo,6667,ITC,BLR,5863,True,True,7000
87,EMP0056,Sales,BLR,MAA,2026-01-12,2026-01-19,SpiceJet,6843,ITC,MAA,4376,False,True,7000
88,EMP0008,Marketing,BOM,DEL,2025-11-29,2025-12-07,Air India,7755,ITC,DEL,6699,True,True,8500
89,EMP0112,Finance,MAA,BLR,2026-01-09,2026-01-16,SpiceJet,5300,Treebo,BLR,6918,False,False,7000
90,EMP0116,Finance,BOM,DEL,2026-01-11,2026-01-15,IndiGo,9163,Lemon Tree,DEL,7686,True,False,8500
91,EMP0033,Finance,BOM,DEL,2025-11-07,2025-11-15,SpiceJet,6756,Taj,DEL,8708,False,True,8500
